SPAN = 4600 mm,,,,,,,,,,,,,
DEPTH,D/D,E/D,E/E,F/E,F/F,G/F,G/G,H/G,H/H,K/H,K/K,L/K,L/L
400,"6.01
1.92
11.21","7.21
2.03
11.80","7.30
2.18
12.37","8.21
2.30
13.27","8.68
2.47
13.83","9.40
2.60
14.62","10.02
2.75
15.29","10.52
2.89
15.92","10.86
3.02
16.42","11.40
3.18
17.10","12.12
3.30
17.65","12.12
3.48
18.30","12.12
3.59
18.83"
450,"6.85
2.49
11.41","8.22
2.64
12.20","8.32
2.82
12.68","9.37
2.99
13.38","9.90
3.20
14.02","10.72
3.37
14.84","11.43
3.56
15.41","12.00
3.74
16.04","12.38
3.92
16.64","13.00
4.11
17.32","13.58
4.27
17.87","13.58
4.50
18.52","13.58
4.66
19.05"
500,"7.69
3.14
11.53","9.23
3.33
12.33","9.35
3.55
12.80","10.52
3.76
13.70","11.11
4.03
14.37","12.04
4.24
15.08","12.83
4.48
15.66","13.48
4.70
16.28","13.90
4.94
16.78","14.60
5.17
17.46","14.96
5.37
18.01","14.96
5.66
18.67","14.96
5.86
19.19"
550,"8.53
3.85
11.66","10.24
4.09
12.67","10.37
4.36
13.15","11.67
4.62
13.96","12.33
4.95
14.52","13.36
5.21
15.24","14.24
5.50
15.81","14.95
5.78
16.50","15.43
6.06
17.00","16.20
6.35
17.76","16.24
6.61
18.31","16.24
6.94
18.96","16.24
7.20
19.49"
600,"9.46
4.73
11.95","11.35
5.01
12.96","11.49
5.35
13.44","12.94
5.67
14.21","13.67
6.08
14.77","14.81
6.39
15.57","15.78
6.75
16.14","16.57
7.09
16.77","17.10
7.43
17.27","17.44
7.79
17.95","17.44
8.10
18.50","17.44
8.51
19.15","17.44
8.83
19.68"
650,"10.30
5.60
12.20","12.36
5.93
13.30","12.52
6.34
13.77","14.09
6.72
14.47","14.89
7.20
15.03","16.13
7.57
15.75","17.19
8.00
16.52","18.05
8.40
17.27","18.56
8.80
17.86","18.56
9.22
18.54","18.56
9.60
19.09","18.56
10.08
19.74","18.56
10.46
20.27"
700,"11.14
6.55
12.67","13.38
6.95
13.48","13.54
7.41
13.96","15.24
7.86
14.88","16.10
8.42
15.44","17.45
8.86
16.28","18.59
9.36
16.86","19.52
9.82
17.67","19.59
10.29
18.17","19.59
10.78
18.85","19.59
11.23
19.40","19.59
11.78
20.04","19.59
12.24
20.58"
750,"11.98
7.58
12.86","14.39
8.02
13.92","14.56
8.57
14.39","16.39
9.09
15.09","17.32
9.74
15.79","18.77
10.24
16.69","20.00
10.82
17.38","20.54
11.35
18.00","20.54
11.90
18.51","20.54
12.46
19.19","20.54
12.98
19.74","20.54
13.62
20.39","20.54
14.15
20.92"
800,"12.91
8.78
13.33","15.50
9.31
14.15","15.69
9.94
14.63","17.66
10.54
15.59","18.66
11.29
16.25","20.21
11.88
17.19","21.41
12.54
17.87","21.41
13.16
18.49","21.41
13.80
19.00","21.41
14.45
19.68","21.41
15.05
20.23","21.41
15.78
20.88","21.41
16.40
21.41"
850,"13.75
9.96
14.04","16.51
10.56
14.78","16.71
11.27
15.26","18.81
11.96
16.17","19.87
12.81
16.73","21.53
13.46
17.55","22.06
14.23
18.12","22.06
14.93
18.75","22.06
15.65
19.25","22.06
16.38
19.93","22.06
17.08
20.48","22.06
17.90
21.14","22.06
18.61
21.66"
900,"14.59
11.22
14.28","17.52
11.89
15.03","17.73
12.69
15.50","19.96
13.47
16.42","21.09
14.42
17.09","22.06
15.17
17.81","22.06
16.02
18.38","22.06
16.81
19.01","22.06
17.62
19.51","22.06
18.45
20.19","22.06
19.23
20.74","22.06
20.15
21.39","22.06
20.95
21.92"
SPAN = 9800 mm,,,,,,,,,,,,,
DEPTH,D/D,E/D,E/E,F/E,F/F,G/F,G/G,H/G,H/H,K/H,K/K,L/K,L/L
350,"4.53
1.17
11.28","5.43
1.24
11.94","5.50
1.33
12.46","6.19
1.41
13.16","6.54
1.51
13.77","7.09
1.59
14.62","7.55
1.67
15.34","7.93
1.77
15.96","8.18
1.84
16.64","8.59
1.95
17.33","9.18
2.01
17.93","9.64
2.13
18.58","10.58
2.19
19.23"
400,"5.28
1.58
11.45","6.34
1.68
12.04","6.41
1.79
12.56","7.22
1.90
13.34","7.63
2.04
13.95","8.26
2.14
14.82","8.81
2.26
15.45","9.25
2.38
16.21","9.54
2.49
16.76","10.02
2.62
17.44","10.70
2.72
18.04","11.24
2.86
18.77","12.34
2.96
19.50"
450,"6.02
2.05
11.56","7.23
2.17
12.16","7.31
2.32
12.68","8.23
2.46
13.45","8.70
2.64
14.13","9.42
2.78
14.94","10.04
2.93
15.57","10.55
3.08
16.33","10.88
3.23
16.88","11.43
3.39
17.57","12.20
3.52
18.35","12.82
3.71
19.11","14.07
3.84
19.82"
