OWSJ                                                                                                            Uniform Load (kN/m),,,,,,,,,,,,,,
Span,Depth,Factored Load,4.5,6.3,8.1,9.9,11.7,13.5,15.3,17.1,18.9,20.7,22.5,24.3
6,,Self Wt (kg/m),9.4,9.5,9.5,9.5,10.9,11.9,11.5,12.0,13.6,15.0,16.5,16.8
6,610,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
6,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
6,,Self Wt (kg/m),9.6,9.6,9.4,9.4,10.3,12.0,11.8,12.2,13.8,15.4,16.8,17.1
6,660,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
6,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
6,,Self Wt (kg/m),9.4,9.5,9.9,10.2,10.9,13.6,13.6,16.0,16.0,16.6,18.4,18.6
6,711,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
6,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
7,,Self Wt (kg/m),8.8,9.5,11.2,12.5,14.7,18.2,19.7,20.7,21.8,24.2,26.9,29.6
7,356,WL/360 (kN/m),3,3,3,4,4,5,6,6,7,7,8,9
7,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
7,,Self Wt (kg/m),8.7,9.4,10.3,11.7,13.1,14.8,16.7,19.3,20.1,21.7,24.3,25.6
7,406,WL/360 (kN/m),3,4,4,4,6,6,7,8,8,9,10,10
7,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
7,,Self Wt (kg/m),9.0,9.7,11.2,11.4,13.3,14.9,15.0,17.7,18.3,20.2,24.1,23.2
7,457,WL/360 (kN/m),3,4,5,5,7,8,8,10,10,10,13,13
7,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
7,,Self Wt (kg/m),9.1,9.2,10.0,11.5,12.0,14.3,15.0,15.8,18.2,18.9,20.4,22.2
7,508,WL/360 (kN/m),3,4,5,7,7,9,9,9,12,12,13,14
7,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
7,,Self Wt (kg/m),9.4,9.3,10.2,11.3,11.7,12.2,15.1,15.9,16.1,18.2,20.0,20.2
7,559,WL/360 (kN/m),3,4,5,7,8,9,10,11,11,13,15,16
7,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
7,,Self Wt (kg/m),9.3,9.5,10.3,11.5,11.5,13.6,13.8,17.7,18.0,18.5,20.3,21.0
7,610,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
7,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
7,,Self Wt (kg/m),9.5,9.7,10.4,11.6,12.0,12.5,14.9,15.3,18.0,18.5,18.8,20.6
7,660,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
7,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
7,,Self Wt (kg/m),9.5,9.7,10.5,11.7,12.2,12.7,14.0,15.0,18.3,18.7,18.9,20.6
7,711,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
7,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
7,,Self Wt (kg/m),9.7,9.8,10.8,12.0,12.6,13.0,14.2,15.5,17.2,18.9,18.4,20.6
7,762,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
7,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
8,,Self Wt (kg/m),9.6,11.4,13.0,17.0,19.0,21.7,23.6,26.6,28.2,30.2,33.0,38.4
8,356,WL/360 (kN/m),2,2,3,4,4,5,5,5,6,6,7,7
8,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0
8,,Self Wt (kg/m),8.9,10.2,12.5,14.7,16.7,19.8,21.7,24.1,24.0,27.4,30.2,30.5
8,406,WL/360 (kN/m),3,3,3,4,5,5,6,7,7,7,8,8
8,,Bridg. (H/X/EX),2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
8,,Self Wt (kg/m),9.0,9.8,11.7,12.8,14.9,18.0,19.7,20.4,24.2,26.1,27.5,30.3
8,457,WL/360 (kN/m),3,3,4,5,5,6,7,7,8,9,9,10
